title,price,link,released
The Contact,Rp 25 999,https://store.steampowered.com/app/394010/The_Contact/?snr=1_7_7_151_150_3,"11 Apr, 2016"
Dangerous Chris,Rp 8 499,https://store.steampowered.com/app/1579490/Dangerous_Chris/?snr=1_7_7_151_150_3,"10 Apr, 2021"
CROOKS.io,,https://store.steampowered.com/app/2076380/CROOKSio/?snr=1_7_7_151_150_3,"2 Feb, 2023"
Survive The Forest Season Pass,,https://store.steampowered.com/app/2150750/Survive_The_Forest_Season_Pass/?snr=1_7_7_151_150_3,"1 Mar, 2023"
FAST DRIVE: Extreme Race,,https://store.steampowered.com/app/766060/FAST_DRIVE_Extreme_Race/?snr=1_7_7_151_150_3,"15 Mar, 2023"
Galaxy Citizen -Classic,Free To Play,https://store.steampowered.com/app/2010130/Galaxy_Citizen_Classic/?snr=1_7_7_151_150_3,Coming soon
Country Adventure,,https://store.steampowered.com/app/1610190/Country_Adventure/?snr=1_7_7_151_150_3,Coming soon
SURVIVE THE ISLAND SINGLE PLAYER AND ONLINE NEW MAP PASS DLC 2,,https://store.steampowered.com/app/1836810/SURVIVE_THE_ISLAND_SINGLE_PLAYER_AND_ONLINE_NEW_MAP_PASS_DLC_2/?snr=1_7_7_151_150_3,Coming soon
Fire In The Hole,,https://store.steampowered.com/app/762250/Fire_In_The_Hole/?snr=1_7_7_151_150_3,Coming soon
Galaxy Citizen- Premium Edition,,https://store.steampowered.com/app/1938610/Galaxy_Citizen_Premium_Edition/?snr=1_7_7_151_150_3,Coming soon
Galaxy Citizen - Beginning,Free,https://store.steampowered.com/app/2002100/Galaxy_Citizen__Beginning/?snr=1_7_7_151_150_3,Coming soon
Crash World,,https://store.steampowered.com/app/852890/Crash_World/?snr=1_7_7_151_150_4,Coming soon
Saga City,,https://store.steampowered.com/app/949740/Saga_City/?snr=1_7_7_151_150_4,Coming soon
Street Dreams,Rp 52 999,https://store.steampowered.com/app/1711910/Street_Dreams/?snr=1_7_7_151_150_4,"17 Sep, 2021"
Flight Unlimited Las Vegas,Rp 25 999,https://store.steampowered.com/app/383620/Flight_Unlimited_Las_Vegas/?snr=1_7_7_151_150_4,"9 Jul, 2015"
DRIFT 84,Rp 25 999,https://store.steampowered.com/app/381800/DRIFT_84/?snr=1_7_7_151_150_4,"14 Jul, 2015"
Kartofank VR,Rp 18 999,https://store.steampowered.com/app/668510/Kartofank_VR/?snr=1_7_7_151_150_4,"12 Oct, 2017"
Gangsta Sniper 3: Final Parody,Rp 24 999,https://store.steampowered.com/app/1173260/Gangsta_Sniper_3_Final_Parody/?snr=1_7_7_151_150_4,"12 Nov, 2019"
Broken Spell 2,Rp 69 999,https://store.steampowered.com/app/1197440/Broken_Spell_2/?snr=1_7_7_151_150_4,"12 Feb, 2020"
STRTK1NG-Beta v1.3.0,Rp 169 999,https://store.steampowered.com/app/1224250/STRTK1NGBeta_v130/?snr=1_7_7_151_150_4,"27 Jul, 2020"
Rustler Demo,Free Demo,https://store.steampowered.com/app/844260/Rustler_Grand_Theft_Horse/?snr=1_7_7_151_150_4,"17 Jun, 2020"
Tales of the Underworld - Legends of Primordial Sea,Rp 95 999,https://store.steampowered.com/app/1840570/Tales_of_the_Underworld__Legends_of_Primordial_Sea/?snr=1_7_7_151_150_4,"3 Jan, 2022"
R.C. Bot Inc.,Rp 45 999,https://store.steampowered.com/app/459630/RC_Bot_Inc/?snr=1_7_7_151_150_4,"30 Jul, 2016"
Legends of Primordial Sea Demo,Free Demo,https://store.steampowered.com/app/1840570/Tales_of_the_Underworld__Legends_of_Primordial_Sea/?snr=1_7_7_151_150_4,"31 Dec, 2021"
Gene Shift Auto: Deluxe Edition,Rp 130 999Rp 104 799,https://store.steampowered.com/app/2194030/Gene_Shift_Auto_Deluxe_Edition/?snr=1_7_7_151_150_4,"28 Nov, 2022"
CS Horizon,Rp 8 499,https://store.steampowered.com/app/1692900/CS_Horizon/?snr=1_7_7_151_150_4,"28 Jul, 2021"
Forbidden Pleasure,Rp 82 999,https://store.steampowered.com/app/1287830/Forbidden_Pleasure/?snr=1_7_7_151_150_4,"10 May, 2020"
MadOut Open City,Rp 69 999,https://store.steampowered.com/app/428190/MadOut_Open_City/?snr=1_7_7_151_150_4,"29 Mar, 2016"
Call of Senpai: Waifu Warfare 2,Rp 17 499,https://store.steampowered.com/app/1893530/Call_of_Senpai_Waifu_Warfare_2/?snr=1_7_7_151_150_4,"24 May, 2022"
Call of Senpai: Waifu Warfare,Rp 8 499,https://store.steampowered.com/app/1786800/Call_of_Senpai_Waifu_Warfare/?snr=1_7_7_151_150_4,"29 Oct, 2021"
OCEAN CITY RACING,Rp 17 499,https://store.steampowered.com/app/311400/OCEAN_CITY_RACING/?snr=1_7_7_151_150_4,"14 Nov, 2014"
Zero-G VR,Rp 45 999,https://store.steampowered.com/app/491520/ZeroG_VR/?snr=1_7_7_151_150_4,"16 Jun, 2016"
Battle For The Sun,Rp 45 999,https://store.steampowered.com/app/385700/Battle_For_The_Sun/?snr=1_7_7_151_150_4,"22 Jul, 2015"
CATS!,Free to Play,https://store.steampowered.com/app/388840/CATS/?snr=1_7_7_151_150_4,"25 Jun, 2016"
The Purge Man,Rp 39 999,https://store.steampowered.com/app/1063930/The_Purge_Man/?snr=1_7_7_151_150_4,"12 Jan, 2021"
Asian Truck Simulator,Rp 47 499Rp 4 849,https://store.steampowered.com/app/2117080/Asian_Truck_Simulator/?snr=1_7_7_151_150_4,"9 Sep, 2022"
Police Radar,Rp 39 999,https://store.steampowered.com/app/2109610/Police_Radar/?snr=1_7_7_151_150_4,"2 Sep, 2022"
Amber Time Pocket,Rp 9 699,https://store.steampowered.com/app/2212200/Amber_Time_Pocket/?snr=1_7_7_151_150_4,"21 Nov, 2022"
Shift of War,Rp 74 699,https://store.steampowered.com/app/2123990/Shift_of_War/?snr=1_7_7_151_150_4,"1 Oct, 2022"
Color by Number - Monster Heroes,Rp 17 499,https://store.steampowered.com/app/1820180/Color_by_Number__Monster_Heroes/?snr=1_7_7_151_150_4,"3 Dec, 2021"
QUIZ PRO! - General Knowledge,Rp 24 999,https://store.steampowered.com/app/1265990/QUIZ_PRO__General_Knowledge/?snr=1_7_7_151_150_4,"28 Mar, 2020"
Legendary Boxing Belt,Rp 95 999,https://store.steampowered.com/app/1410660/Legendary_Boxing_Belt/?snr=1_7_7_151_150_4,"30 Apr, 2022"
survive the island SINGLE PLAYER AND ONLINE NEW MAP,Rp 52 999,https://store.steampowered.com/app/1884110/survive_the_island_SINGLE_PLAYER_AND_ONLINE_NEW_MAP/?snr=1_7_7_151_150_4,"28 Jan, 2022"
FirePuzzle - Save the House,Rp 17 499Rp 3 324,https://store.steampowered.com/app/1806460/FirePuzzle__Save_the_House/?snr=1_7_7_151_150_4,"19 Nov, 2021"
Quiz Pro - Guess Pictures,Rp 24 999,https://store.steampowered.com/app/1366830/Quiz_Pro__Guess_Pictures/?snr=1_7_7_151_150_4,"22 Jul, 2020"
Strategist,Rp 24 999,https://store.steampowered.com/app/923480/Strategist/?snr=1_7_7_151_150_4,"30 Aug, 2018"
Instinct Rush 本能冲撞,Rp 8 499,https://store.steampowered.com/app/1056070/Instinct_Rush/?snr=1_7_7_151_150_4,"10 May, 2019"
Join Rush Attack / 加入突袭,Rp 17 499,https://store.steampowered.com/app/1766270/Join_Rush_Attack/?snr=1_7_7_151_150_4,"7 Oct, 2021"
Amber Time [RPG],Rp 8 499,https://store.steampowered.com/app/1268990/Amber_Time_RPG/?snr=1_7_7_151_150_4,"15 Apr, 2020"
CONTASION 2,Rp 59 999,https://store.steampowered.com/app/428940/CONTASION_2/?snr=1_7_7_151_150_4,"23 Apr, 2016"
Captain vs Sky Pirates - Evil Village,Rp 8 499,https://store.steampowered.com/app/750280/Captain_vs_Sky_Pirates__Evil_Village/?snr=1_7_7_151_150_4,"10 Nov, 2017"
Captain vs Sky Pirates - Post Apocalyptic City,Rp 8 499,https://store.steampowered.com/app/755430/Captain_vs_Sky_Pirates__Post_Apocalyptic_City/?snr=1_7_7_151_150_4,"15 Nov, 2017"
Outer Rim,Rp 8 499,https://store.steampowered.com/app/604640/Outer_Rim/?snr=1_7_7_151_150_4,"31 Mar, 2017"
Office Strike War - Multiplayer Battle Royale,Rp 24 999Rp 3 249,https://store.steampowered.com/app/1721050/Office_Strike_War__Multiplayer_Battle_Royale/?snr=1_7_7_151_150_4,"2 Sep, 2021"
Master of Mayhem Soundtrack,Rp 8 499,https://store.steampowered.com/app/602390/Master_of_Mayhem_Soundtrack/?snr=1_7_7_151_150_4,"1 Apr, 2017"
Island Assault,Free to Play,https://store.steampowered.com/app/1929650/Island_Assault/?snr=1_7_7_151_150_4,"25 Mar, 2022"
Christmas Slots - Casino Game,Rp 17 499,https://store.steampowered.com/app/1780410/Christmas_Slots__Casino_Game/?snr=1_7_7_151_150_4,"19 Oct, 2021"
Amber Time [RPG] Resource package 03,Rp 9 699,https://store.steampowered.com/app/2201750/Amber_Time_RPG_Resource_package_03/?snr=1_7_7_151_150_4,"13 Nov, 2022"
Sliding Puzzle Deluxe The Classic,Rp 28 999,https://store.steampowered.com/app/2205490/Sliding_Puzzle_Deluxe_The_Classic/?snr=1_7_7_151_150_4,"17 Nov, 2022"
FUN Platformer,Rp 17 499,https://store.steampowered.com/app/1700420/FUN_Platformer/?snr=1_7_7_151_150_4,"28 Sep, 2021"
Photo Quiz - Flags,Rp 8 499,https://store.steampowered.com/app/1216750/Photo_Quiz__Flags/?snr=1_7_7_151_150_4,"28 Dec, 2019"
Starfield Wars - 沙罗曼蛇 3D,Rp 39 999,https://store.steampowered.com/app/886290/Starfield_Wars___3D/?snr=1_7_7_151_150_5,"5 Jul, 2018"
Charpi,Rp 18 999,https://store.steampowered.com/app/694670/Charpi/?snr=1_7_7_151_150_5,"31 Aug, 2017"
Fantasy Memory Card Game - Expansion Pack 13,Rp 8 499,https://store.steampowered.com/app/1278980/Fantasy_Memory_Card_Game__Expansion_Pack_13/?snr=1_7_7_151_150_5,"31 Mar, 2020"
Amber Time [RPG] Resource package 01,Rp 8 499,https://store.steampowered.com/app/1806870/Amber_Time_RPG_Resource_package_01/?snr=1_7_7_151_150_5,"3 Nov, 2021"
Photo Quiz - Instruments,Rp 8 499,https://store.steampowered.com/app/1216290/Photo_Quiz__Instruments/?snr=1_7_7_151_150_5,"27 Dec, 2019"
Color by Number - Monster Heroes - Expansion Pack,Rp 8 499,https://store.steampowered.com/app/1828250/Color_by_Number__Monster_Heroes__Expansion_Pack/?snr=1_7_7_151_150_5,"3 Dec, 2021"
Amber Time [RPG] Resource package 02,Rp 8 499,https://store.steampowered.com/app/1806890/Amber_Time_RPG_Resource_package_02/?snr=1_7_7_151_150_5,"3 Nov, 2021"
Guns Craft - Expansion Pack 2,Rp 8 499,https://store.steampowered.com/app/1218650/Guns_Craft__Expansion_Pack_2/?snr=1_7_7_151_150_5,"1 Jan, 2020"
Space Ribbon - Soundtrack Pack,Rp 18 999,https://store.steampowered.com/app/512970/Space_Ribbon__Soundtrack_Pack/?snr=1_7_7_151_150_5,"11 Aug, 2016"
Mars Troopers - 生化奇兵2019,Rp 48 999,https://store.steampowered.com/app/890680/Mars_Troopers__2019/?snr=1_7_7_151_150_5,"21 Jul, 2018"
Space Ribbon Panther Jet Car - Early Access Pack,Free,https://store.steampowered.com/app/543660/Space_Ribbon_Panther_Jet_Car__Early_Access_Pack/?snr=1_7_7_151_150_5,"29 Oct, 2016"
KOMMERSANT,Rp 39 999,https://store.steampowered.com/app/778870/KOMMERSANT/?snr=1_7_7_151_150_5,"26 Apr, 2019"
Fantasy Memory Card Game - Expansion Pack 14,Rp 8 499,https://store.steampowered.com/app/1281000/Fantasy_Memory_Card_Game__Expansion_Pack_14/?snr=1_7_7_151_150_5,"3 Apr, 2020"
Zombie Drift,Rp 8 499,https://store.steampowered.com/app/1522350/Zombie_Drift/?snr=1_7_7_151_150_5,"27 Jan, 2021"
Item Collector - Trophy,Rp 8 499,https://store.steampowered.com/app/1351320/Item_Collector__Trophy/?snr=1_7_7_151_150_5,"10 Jul, 2020"
Druid - Soundtrack,Rp 9 699Rp 7 759,https://store.steampowered.com/app/946130/Druid__Soundtrack/?snr=1_7_7_151_150_5,"19 Sep, 2018"
Hyper Bullet,Rp 28 699,https://store.steampowered.com/app/1729660/Hyper_Bullet/?snr=1_7_7_151_150_5,"6 Oct, 2021"
Memory Card Monsters - Expanded Content 4,Rp 8 499,https://store.steampowered.com/app/1417560/Memory_Card_Monsters__Expanded_Content_4/?snr=1_7_7_151_150_5,"16 Sep, 2020"
QUIZ PRO! - General Knowledge - MOVIE,Rp 17 499,https://store.steampowered.com/app/1270040/QUIZ_PRO__General_Knowledge__MOVIE/?snr=1_7_7_151_150_5,"28 Mar, 2020"
QUIZ PRO! - General Knowledge - HISTORY,Rp 17 499,https://store.steampowered.com/app/1268620/QUIZ_PRO__General_Knowledge__HISTORY/?snr=1_7_7_151_150_5,"28 Mar, 2020"
MYSTERY HOUSE : SECRET STEALTH,Rp 24 999,https://store.steampowered.com/app/893170/MYSTERY_HOUSE__SECRET_STEALTH/?snr=1_7_7_151_150_5,"19 Jul, 2018"
Druid - Wallpapers,Rp 9 699Rp 7 759,https://store.steampowered.com/app/988760/Druid__Wallpapers/?snr=1_7_7_151_150_5,"28 Nov, 2018"
Fantasy Memory Card Game - Expansion Pack 8,Rp 8 499,https://store.steampowered.com/app/1273860/Fantasy_Memory_Card_Game__Expansion_Pack_8/?snr=1_7_7_151_150_5,"28 Mar, 2020"
SURVIVE THE ISLAND SINGLE PLAYER AND ONLINE NEW MAP PASS DLC,Free To Play,https://store.steampowered.com/app/1833600/SURVIVE_THE_ISLAND_SINGLE_PLAYER_AND_ONLINE_NEW_MAP_PASS_DLC/?snr=1_7_7_151_150_5,"28 Dec, 2021"
Item Collector - Prehistoric Age,Rp 8 499,https://store.steampowered.com/app/1347980/Item_Collector__Prehistoric_Age/?snr=1_7_7_151_150_5,"10 Jul, 2020"
Pokka Man Blast,Rp 17 499,https://store.steampowered.com/app/1090530/Pokka_Man_Blast/?snr=1_7_7_151_150_5,"4 Jun, 2019"
Item Collector - Loot,Rp 8 499,https://store.steampowered.com/app/1352320/Item_Collector__Loot/?snr=1_7_7_151_150_5,"10 Jul, 2020"
Fantasy Memory Card Game - Expansion Pack 9,Rp 8 499,https://store.steampowered.com/app/1275100/Fantasy_Memory_Card_Game__Expansion_Pack_9/?snr=1_7_7_151_150_5,"28 Mar, 2020"
Photo Quiz - US States,Rp 8 499,https://store.steampowered.com/app/1212220/Photo_Quiz__US_States/?snr=1_7_7_151_150_5,"18 Dec, 2019"
Fantasy Memory Card Game - Expansion Pack 12,Rp 8 499,https://store.steampowered.com/app/1277990/Fantasy_Memory_Card_Game__Expansion_Pack_12/?snr=1_7_7_151_150_5,"30 Mar, 2020"
Captain vs Sky Pirates - Forest,Rp 8 499,https://store.steampowered.com/app/754070/Captain_vs_Sky_Pirates__Forest/?snr=1_7_7_151_150_5,"14 Nov, 2017"
Fantasy Memory Card Game - Expansion Pack 10,Rp 8 499,https://store.steampowered.com/app/1275780/Fantasy_Memory_Card_Game__Expansion_Pack_10/?snr=1_7_7_151_150_5,"28 Mar, 2020"
Item Collector - Witch Craft,Rp 8 499,https://store.steampowered.com/app/1349350/Item_Collector__Witch_Craft/?snr=1_7_7_151_150_5,"10 Jul, 2020"
JET HERO 6000 STAR,Rp 9 299Rp 6 509,https://store.steampowered.com/app/591050/JET_HERO_6000_STAR/?snr=1_7_7_151_150_5,"17 Feb, 2017"
GUNS BATTLE ROYALE,Rp 82 999,https://store.steampowered.com/app/852560/GUNS_BATTLE_ROYALE/?snr=1_7_7_151_150_5,"11 May, 2018"
Item Collector - Barbarian,Rp 8 499,https://store.steampowered.com/app/1347100/Item_Collector__Barbarian/?snr=1_7_7_151_150_5,"10 Jul, 2020"
Dawn Of The Lost Castle -ArtBook,Rp 8 499,https://store.steampowered.com/app/1106120/Dawn_Of_The_Lost_Castle_ArtBook/?snr=1_7_7_151_150_5,"26 Jun, 2019"
Pokka Man,Rp 17 499,https://store.steampowered.com/app/823290/Pokka_Man/?snr=1_7_7_151_150_5,"3 Apr, 2018"
Fantasy Memory Card Game - Expansion Pack 7,Rp 8 499,https://store.steampowered.com/app/1272880/Fantasy_Memory_Card_Game__Expansion_Pack_7/?snr=1_7_7_151_150_5,"22 Mar, 2020"
Quiz Pro - Guess Pictures - Flags of the World,Rp 17 499,https://store.steampowered.com/app/1369380/Quiz_Pro__Guess_Pictures__Flags_of_the_World/?snr=1_7_7_151_150_5,"22 Jul, 2020"
Fantasy Memory Card Game - Expansion Pack 11,Rp 8 499,https://store.steampowered.com/app/1276770/Fantasy_Memory_Card_Game__Expansion_Pack_11/?snr=1_7_7_151_150_5,"28 Mar, 2020"
Item Collector - Necromancer,Rp 8 499,https://store.steampowered.com/app/1350400/Item_Collector__Necromancer/?snr=1_7_7_151_150_5,"10 Jul, 2020"
Captain vs Sky Pirates - Pyramids,Rp 8 499,https://store.steampowered.com/app/751030/Captain_vs_Sky_Pirates__Pyramids/?snr=1_7_7_151_150_5,"8 Nov, 2017"
Memory Card Monsters - Expanded Content 3,Rp 8 499,https://store.steampowered.com/app/1416740/Memory_Card_Monsters__Expanded_Content_3/?snr=1_7_7_151_150_5,"16 Sep, 2020"
FUN Platformer  DLC 2,Rp 59 999,https://store.steampowered.com/app/1800210/FUN_Platformer__DLC_2/?snr=1_7_7_151_150_5,"14 Nov, 2021"
Photo Quiz - What Job,Rp 8 499,https://store.steampowered.com/app/1212490/Photo_Quiz__What_Job/?snr=1_7_7_151_150_5,"18 Dec, 2019"
Memory Card Monsters - Expanded Content 5,Rp 8 499,https://store.steampowered.com/app/1422170/Memory_Card_Monsters__Expanded_Content_5/?snr=1_7_7_151_150_5,"16 Sep, 2020"
Fantasy Memory Card Game - Expansion Pack 3,Rp 8 499,https://store.steampowered.com/app/1260900/Fantasy_Memory_Card_Game__Expansion_Pack_3/?snr=1_7_7_151_150_5,"13 Mar, 2020"
Memory Card Monsters - Expanded Content 7,Rp 8 499,https://store.steampowered.com/app/1423210/Memory_Card_Monsters__Expanded_Content_7/?snr=1_7_7_151_150_5,"16 Sep, 2020"
MADELA,Rp 24 999,https://store.steampowered.com/app/1186650/MADELA/?snr=1_7_7_151_150_5,"18 Sep, 2021"
Photo Quiz - Capital Cities,Rp 8 499,https://store.steampowered.com/app/1212670/Photo_Quiz__Capital_Cities/?snr=1_7_7_151_150_6,"18 Dec, 2019"
Photo Quiz - Landmarks,Rp 8 499,https://store.steampowered.com/app/1214610/Photo_Quiz__Landmarks/?snr=1_7_7_151_150_6,"20 Dec, 2019"
Guess Pictures - Kawaii Avatar,Rp 24 999,https://store.steampowered.com/app/1376000/Guess_Pictures__Kawaii_Avatar/?snr=1_7_7_151_150_6,"28 Jul, 2020"
Fantasy Memory Card Game - Expansion Pack 6,Rp 8 499,https://store.steampowered.com/app/1272180/Fantasy_Memory_Card_Game__Expansion_Pack_6/?snr=1_7_7_151_150_6,"20 Mar, 2020"
Memory Card Monsters - Expanded Content 6,Rp 8 499,https://store.steampowered.com/app/1422830/Memory_Card_Monsters__Expanded_Content_6/?snr=1_7_7_151_150_6,"16 Sep, 2020"
Guess Pictures - Farm,Rp 24 999,https://store.steampowered.com/app/1372540/Guess_Pictures__Farm/?snr=1_7_7_151_150_6,"29 Jul, 2020"
Fantasy Memory Card Game - Expansion Pack 4,Rp 8 499,https://store.steampowered.com/app/1270790/Fantasy_Memory_Card_Game__Expansion_Pack_4/?snr=1_7_7_151_150_6,"18 Mar, 2020"
Fantasy Memory Card Game - Expansion Pack 5,Rp 8 499,https://store.steampowered.com/app/1271800/Fantasy_Memory_Card_Game__Expansion_Pack_5/?snr=1_7_7_151_150_6,"20 Mar, 2020"
XO Evolved,Free To Play,https://store.steampowered.com/app/1817260/XO_Evolved/?snr=1_7_7_151_150_6,"27 Jan, 2022"
Find Objects - Expansion Pack,Rp 17 499,https://store.steampowered.com/app/1711040/Find_Objects__Expansion_Pack/?snr=1_7_7_151_150_6,"10 Aug, 2021"
JET HERO 13000 STAR,Rp 18 999Rp 9 499,https://store.steampowered.com/app/591060/JET_HERO_13000_STAR/?snr=1_7_7_151_150_6,"17 Feb, 2017"
Captain vs Sky Pirates - Moon Base,Rp 8 499,https://store.steampowered.com/app/754670/Captain_vs_Sky_Pirates__Moon_Base/?snr=1_7_7_151_150_6,"15 Nov, 2017"
JET HERO 35000 STAR,Rp 45 999Rp 22 999,https://store.steampowered.com/app/591063/JET_HERO_35000_STAR/?snr=1_7_7_151_150_6,"17 Feb, 2017"
Forest Rabbit,Rp 17 499,https://store.steampowered.com/app/888560/Forest_Rabbit/?snr=1_7_7_151_150_6,"27 Jul, 2018"
JET HERO 20000 STAR,Rp 25 999Rp 12 999,https://store.steampowered.com/app/591061/JET_HERO_20000_STAR/?snr=1_7_7_151_150_6,"17 Feb, 2017"
The Masterplan - Soundtrack,Rp 69 999,https://store.steampowered.com/app/376320/The_Masterplan__Soundtrack/?snr=1_7_7_151_150_6,"5 Jun, 2015"
JET HERO 27000 STAR,Rp 35 999Rp 17 999,https://store.steampowered.com/app/591062/JET_HERO_27000_STAR/?snr=1_7_7_151_150_6,"17 Feb, 2017"
Druid Demo,Free Demo,https://store.steampowered.com/app/552390/Druid/?snr=1_7_7_151_150_6,"18 Aug, 2018"
Child Of Ault Demo,Free Demo,https://store.steampowered.com/app/566270/Child_Of_Ault/?snr=1_7_7_151_150_6,"14 Mar, 2017"
Deadly Maze: Phase 1 Demo Demo,Free Demo,https://store.steampowered.com/app/1127250/Deadly_Maze_Phase_1/?snr=1_7_7_151_150_6,"17 Dec, 2019"
Hyper Bullet Demo,Free Demo,https://store.steampowered.com/app/1729660/Hyper_Bullet/?snr=1_7_7_151_150_6,"28 Sep, 2021"
Space Ribbon Demo,Free Demo,https://store.steampowered.com/app/501220/Space_Ribbon__Slipstream_to_the_Extreme/?snr=1_7_7_151_150_6,"30 Sep, 2016"
